Epoch,Train Loss,Train_Accuracy,Validation_Accuracy
0,1.6086936130218465,59.04529427719013,65.52706552706553
10,1.1212629978334092,90.96826688364524,71.7948717948718
20,1.0528914713102981,94.73826959587741,74.35897435897436
30,1.025415144284825,96.39273121779225,71.22507122507122
40,0.9982730370405924,97.58611337130458,74.35897435897436
50,0.9785997666477154,98.18280444806075,76.63817663817663
60,0.9688926160836692,98.42690534309737,76.06837606837607
70,0.9554855343058467,99.15920802820722,74.92877492877493
80,0.9510099329791937,99.05071874152428,77.4928774928775
90,0.9475784883739699,99.10496338486574,76.06837606837607
100,0.9390959360750186,99.40330892324383,78.06267806267806
110,0.9387863716330346,99.32194195823162,77.77777777777777
120,0.9319286418859959,99.5389205315975,78.06267806267806
130,0.9280612721558279,99.48467588825604,78.06267806267806
140,0.9292898333295755,99.43043124491456,77.4928774928775
150,0.9245703665906897,99.48467588825604,78.91737891737891
160,0.922784099418489,99.81014374830485,79.2022792022792
170,0.9219271523020667,99.75589910496339,78.91737891737891
180,0.9160293670149395,99.83726606997558,78.63247863247864
190,0.9182824798803327,99.70165446162191,78.63247863247864
200,0.919062788776825,99.59316517493897,78.63247863247864
